sleep_ts,step_count,heart_rate,current_activity_type_intensity,stress_level_value,sleep_level,resting_heart_rate
31/12/2023 20:25,2593,0,0,51,0,0
31/12/2023 20:30,0,0,8,60,0,0
31/12/2023 20:35,0,0,104,61,0,0
31/12/2023 20:40,0,0,8,46,0,0
31/12/2023 20:45,0,0,40,55,0,0
31/12/2023 20:50,0,0,104,60,0,0
31/12/2023 20:55,0,0,136,-1,1,0
31/12/2023 21:00,0,0,168,60,0,0
31/12/2023 21:05,0,0,136,48,0,0
31/12/2023 21:10,0,0,8,-1,0,0
31/12/2023 21:15,0,0,72,36,0,0
31/12/2023 21:20,0,0,104,48,0,0
31/12/2023 21:25,0,0,72,24,0,0
31/12/2023 21:30,0,0,0,-1,0,0
31/12/2023 21:35,0,0,8,39,0,0
31/12/2023 21:40,0,0,136,36,0,0
31/12/2023 21:45,0,0,0,-1,0,0
31/12/2023 21:50,0,0,0,-1,0,0
31/12/2023 21:55,0,0,0,-1,0,0
31/12/2023 22:00,0,0,0,33,0,0
31/12/2023 22:05,0,0,0,37,0,0
31/12/2023 22:10,0,0,8,35,0,0
31/12/2023 22:15,0,0,104,-1,0,0
31/12/2023 22:20,0,0,0,-1,0,0
31/12/2023 22:25,0,0,40,24,0,0
31/12/2023 22:30,0,0,8,-1,0,0
31/12/2023 22:35,0,0,104,20,0,0
31/12/2023 22:40,0,0,0,-1,0,0
31/12/2023 22:45,0,0,0,-1,0,0
31/12/2023 22:50,0,0,0,-1,0,0
31/12/2023 22:55,0,0,8,23,0,0
31/12/2023 23:00,0,0,104,23,0,0
31/12/2023 23:05,0,0,8,26,0,0
31/12/2023 23:10,0,0,136,-1,0,0
31/12/2023 23:15,0,0,136,-1,0,0
31/12/2023 23:20,0,0,8,26,0,0
31/12/2023 23:25,0,0,104,24,0,0
31/12/2023 23:30,0,0,104,24,0,0
31/12/2023 23:35,0,0,40,24,0,0
31/12/2023 23:40,0,0,200,-2,0,0
31/12/2023 23:45,0,0,0,89,0,0
31/12/2023 23:50,0,0,0,25,0,0
31/12/2023 23:55,0,0,136,40,0,0
01/01/2024 00:00,2799,0,104,63,0,68
01/01/2024 00:05,0,0,168,74,0,0
01/01/2024 00:10,0,0,0,-2,0,0
01/01/2024 00:15,0,0,168,19,0,0
01/01/2024 00:20,0,0,0,-1,0,0
