sleep_ts,step_count,heart_rate,current_activity_type_intensity,stress_level_value,sleep_level,resting_heart_rate
19/01/2024 00:00,11664,108,136,18,0,63
19/01/2024 00:05,10366,112,102,14,0,0
19/01/2024 00:10,4897,122,40,11,0,0
19/01/2024 00:15,4914,106,160,14,0,0
19/01/2024 00:20,26,113,70,19,0,0
19/01/2024 00:25,0,114,192,14,0,0
19/01/2024 00:30,0,107,0,18,0,0
19/01/2024 00:35,5173,123,70,60,0,0
19/01/2024 00:40,108,120,128,28,0,0
19/01/2024 00:45,9685,113,6,24,0,0
19/01/2024 00:50,0,97,104,48,1,0
19/01/2024 00:55,224,74,168,84,0,0
19/01/2024 01:00,5660,94,70,68,0,0
19/01/2024 01:05,0,93,104,30,0,0
19/01/2024 01:10,0,92,104,-1,0,0
19/01/2024 01:15,0,92,104,19,0,0
19/01/2024 01:20,6416,91,70,15,0,0
19/01/2024 01:25,243,92,102,12,0,0
19/01/2024 01:30,6534,91,104,17,0,0
19/01/2024 01:35,10504,108,104,19,0,0
19/01/2024 01:40,273,118,104,10,0,0
19/01/2024 01:45,7287,121,70,9,0,0
19/01/2024 01:50,302,71,70,12,0,0
19/01/2024 01:55,9945,74,70,13,0,0
19/01/2024 02:00,0,74,0,13,0,0
19/01/2024 02:05,0,89,8,17,0,0
19/01/2024 02:10,313,92,102,11,0,0
19/01/2024 02:15,8411,100,104,10,0,0
19/01/2024 02:20,0,104,0,14,0,0
19/01/2024 02:25,9951,99,102,21,0,0
19/01/2024 02:30,6909,97,104,7,0,0
19/01/2024 02:35,10223,94,104,3,0,0
19/01/2024 02:40,0,96,0,18,0,0
19/01/2024 02:45,389,95,72,7,0,0
19/01/2024 02:50,0,93,72,11,0,0
19/01/2024 02:55,9396,91,134,12,0,0
19/01/2024 03:00,0,96,0,16,0,0
19/01/2024 03:05,10255,93,70,16,0,0
19/01/2024 03:10,9582,103,72,13,0,0
19/01/2024 03:15,7041,111,104,8,0,0
19/01/2024 03:20,11083,119,70,15,0,0
19/01/2024 03:25,551,107,70,17,0,0
19/01/2024 03:30,0,117,0,15,0,0
19/01/2024 03:35,9961,122,104,36,0,0
19/01/2024 03:40,0,112,0,20,0,0
19/01/2024 03:45,0,112,0,17,0,0
19/01/2024 03:50,11131,111,70,17,0,0
19/01/2024 03:55,10320,95,104,8,0,0
19/01/2024 04:00,647,91,40,7,0,0
19/01/2024 04:05,0,97,72,10,0,0
19/01/2024 04:10,0,98,0,12,0,0
19/01/2024 04:15,0,97,0,23,0,0
19/01/2024 04:20,10343,101,70,22,0,0
19/01/2024 04:25,0,95,0,22,0,0
19/01/2024 04:30,748,93,72,21,0,0
19/01/2024 04:35,11459,91,70,19,0,0
19/01/2024 04:40,10370,93,104,19,0,0
19/01/2024 04:45,0,91,72,13,0,0
19/01/2024 04:50,10379,93,102,10,0,0
19/01/2024 04:55,10384,91,38,7,0,0
19/01/2024 05:00,868,70,136,13,0,0
19/01/2024 05:05,0,93,8,8,0,0
19/01/2024 05:10,7382,102,136,10,0,0
19/01/2024 05:15,7425,105,102,9,0,0
19/01/2024 05:20,0,105,104,14,0,0
19/01/2024 05:25,11478,93,70,10,0,0
19/01/2024 05:30,0,94,40,7,0,0
19/01/2024 05:35,0,92,104,2,0,0
19/01/2024 05:40,11572,101,70,1,0,0
19/01/2024 05:45,0,90,40,2,0,0
19/01/2024 05:50,0,90,72,1,0,0
19/01/2024 05:55,0,90,40,2,0,0
19/01/2024 06:00,0,101,104,5,0,0
19/01/2024 06:05,0,93,104,15,0,0
19/01/2024 06:10,10454,90,102,6,0,0
19/01/2024 06:15,10467,82,136,4,0,0
19/01/2024 06:20,7470,98,102,6,0,0
19/01/2024 06:25,11630,92,104,11,0,0
19/01/2024 06:30,1375,90,70,13,0,0
19/01/2024 06:35,1440,93,70,13,0,0
19/01/2024 06:40,0,88,40,15,0,0
19/01/2024 06:45,0,91,0,14,0,0
19/01/2024 06:50,0,93,8,1,0,0
19/01/2024 06:55,1603,82,104,4,0,0
19/01/2024 07:00,0,87,40,2,0,0
19/01/2024 07:05,0,99,40,2,0,0
19/01/2024 07:10,10619,111,70,10,0,0
19/01/2024 07:15,1126,93,129,2,0,0
19/01/2024 07:20,10696,84,102,13,0,0
19/01/2024 07:25,0,98,136,8,0,0
19/01/2024 07:30,0,116,8,12,0,0
19/01/2024 07:35,0,94,136,10,0,0
19/01/2024 07:40,1824,97,70,8,0,0
19/01/2024 07:45,2189,95,129,8,0,0
19/01/2024 07:50,10746,94,104,11,0,0
19/01/2024 07:55,0,96,192,27,0,0
19/01/2024 08:00,1895,104,168,-2,1,64
19/01/2024 08:05,11001,91,168,-2,1,0
19/01/2024 08:10,10633,94,168,57,0,0
19/01/2024 08:15,2754,93,168,54,1,0
19/01/2024 08:20,0,98,168,-2,1,0
19/01/2024 08:25,11059,98,136,20,0,0
19/01/2024 08:30,0,93,136,51,0,0
19/01/2024 08:35,11072,91,102,-1,0,0
19/01/2024 08:40,0,88,104,22,0,0
19/01/2024 08:45,0,89,8,21,0,0
19/01/2024 08:50,0,96,40,-2,1,0
19/01/2024 08:55,8030,90,38,-2,1,0
19/01/2024 09:00,3048,86,166,-2,1,0
19/01/2024 09:05,11093,85,38,-2,1,0
19/01/2024 09:10,0,84,136,32,0,0
19/01/2024 09:15,0,87,168,-2,0,0
19/01/2024 09:20,11105,87,168,63,0,0
19/01/2024 09:25,0,86,104,34,0,0
19/01/2024 09:30,11120,81,104,34,1,0
19/01/2024 09:35,0,77,136,33,0,0
19/01/2024 09:40,0,106,168,-2,1,0
19/01/2024 09:45,0,103,0,74,0,0
19/01/2024 09:50,0,104,136,63,0,0
19/01/2024 09:55,11294,112,104,62,0,0
19/01/2024 10:00,0,99,136,41,0,0
19/01/2024 10:05,3763,92,136,49,0,0
19/01/2024 10:10,0,98,0,46,0,0
19/01/2024 10:15,0,100,0,32,0,0
19/01/2024 10:20,0,95,0,36,0,0
19/01/2024 10:25,11443,79,70,39,0,0
19/01/2024 10:30,0,79,0,43,0,0
19/01/2024 10:35,0,79,0,-1,0,0
19/01/2024 10:40,0,78,136,-2,1,0
19/01/2024 10:45,0,75,0,15,0,0
19/01/2024 10:50,0,80,0,34,0,0
19/01/2024 10:55,4605,75,136,64,1,0
19/01/2024 11:00,0,80,0,8,0,0
19/01/2024 11:05,0,90,136,23,0,0
19/01/2024 11:10,4895,92,70,12,0,0
19/01/2024 11:15,0,75,0,13,0,0
19/01/2024 11:20,0,72,200,-2,0,0
19/01/2024 11:25,0,76,8,65,0,0
19/01/2024 11:30,1601,75,134,42,0,0
19/01/2024 11:35,0,88,104,40,0,0
19/01/2024 11:40,0,82,0,36,0,0
19/01/2024 11:45,5542,69,70,21,0,0
19/01/2024 11:50,0,69,96,33,0,0
19/01/2024 11:55,0,70,0,30,0,0
19/01/2024 12:00,0,69,0,36,0,0
19/01/2024 12:05,5943,70,160,34,0,0
19/01/2024 12:10,6089,74,102,41,0,0
19/01/2024 12:15,11520,70,102,64,0,0
19/01/2024 12:20,0,82,0,-1,0,0
19/01/2024 12:25,1654,94,136,33,0,0
19/01/2024 12:30,6119,90,104,-1,0,0
19/01/2024 12:35,1709,90,160,18,0,0
19/01/2024 12:40,0,89,160,-2,1,0
19/01/2024 12:45,0,85,0,54,0,0
19/01/2024 12:50,11591,81,136,13,0,0
19/01/2024 12:55,6290,81,70,18,0,0
19/01/2024 13:00,0,82,0,14,0,0
19/01/2024 13:05,0,77,104,9,0,0
19/01/2024 13:10,6346,77,38,7,0,0
19/01/2024 13:15,0,77,160,11,0,0
19/01/2024 13:20,0,74,104,17,0,0
19/01/2024 13:25,6416,76,136,39,1,0
19/01/2024 13:30,0,77,168,-1,1,0
19/01/2024 13:35,0,75,136,-1,1,0
19/01/2024 13:40,11639,76,70,19,0,0
19/01/2024 13:45,0,76,0,11,0,0
19/01/2024 13:50,11664,74,128,7,0,0
19/01/2024 13:55,6503,73,136,9,1,0
19/01/2024 14:00,0,75,160,20,0,0
19/01/2024 14:05,6509,73,160,10,0,0
19/01/2024 14:10,0,75,0,24,0,0
19/01/2024 14:15,0,77,0,17,0,0
19/01/2024 14:20,0,105,0,3,0,0
19/01/2024 14:25,0,72,0,13,0,0
19/01/2024 14:30,0,68,136,-2,1,0
19/01/2024 14:35,0,72,128,-1,0,0
19/01/2024 14:40,1785,79,70,30,0,0
19/01/2024 14:45,0,72,0,-1,0,0
19/01/2024 14:50,0,76,0,13,0,0
19/01/2024 14:55,0,70,0,15,0,0
19/01/2024 15:00,0,72,136,15,0,0
19/01/2024 15:05,1869,86,136,14,0,0
19/01/2024 15:10,0,93,0,21,0,0
19/01/2024 15:15,0,78,0,8,0,0
19/01/2024 15:20,0,81,104,21,0,0
19/01/2024 15:25,0,72,0,8,0,0
